Probabilities,2D,2T,SP
0.1,281.09197536445464,285.922245824812,63339.36626037543
0.2,280.9001383434737,285.6288777118268,63302.16903401869
0.3,280.7090810037161,285.3892106476285,63283.52969819652
0.5,280.52491225864685,285.1634359037341,63259.92130482682
1.0,280.1945283772832,284.7852618702275,63234.10281891566
2.0,279.8377385066315,284.34900435167003,63196.34884119924
3.0,279.63208650897576,284.0381288928157,63173.282512763086
5.0,279.330810244553,283.65100248842214,63140.842744029986
10.0,278.80559780077124,283.02129707767784,63095.66815002372
20.0,278.166127292108,282.24969345251486,63039.00155099579
30.0,277.6156171025839,281.69192541619,62997.845723671206
50.0,276.26714421280917,280.78394419948916,62930.49886223884
60.0,275.36368079242004,280.33455558659614,62895.79154844477
70.0,274.18678885044267,279.8499393132307,62861.262648251766
80.0,272.33547716030324,279.25899485274863,62821.577134925246
90.0,269.18483173697166,278.3805519301886,62764.673938283835
95.0,266.11161332550483,277.64969162838594,62716.82422553908
99.0,258.9587391987227,276.1152785026867,62633.51944126221
