Probabilities,IWV,A20,A40,A50,A75
0.1,15.300708881462265,0.20736909253375796,0.10227011723071668,0.14665474517662638,0.31863441547178445
0.2,15.141215927411428,0.20519950605678802,0.10118245255346195,0.14509402495147183,0.3152423685863913
0.3,14.981722973360592,0.20303039011071072,0.10009641254972798,0.1435357744655629,0.3118558529182464
0.5,14.689038875514665,0.19905108061347412,0.09810763215200857,0.14068263116221089,0.30565559635897577
1.0,14.529545921463829,0.19688328515167117,0.09702615791731524,0.13913132249524834,0.3022846292056042
2.0,14.012837683939592,0.18986344323929602,0.09353342850400657,0.1341221580664276,0.2914009160107382
3.0,13.696107308984852,0.1855627895946827,0.09140061996353616,0.13106405870034543,0.28475723886250925
5.0,13.217875200073376,0.17907254157225727,0.08819184369558085,0.12646420988901821,0.2747653343658599
10.0,12.561675258942055,0.1701733876510822,0.08381114625471507,0.12018634774104556,0.2611307372299305
20.0,11.522822813356857,0.15609927352599062,0.076926583971311,0.11032479800501353,0.23971829611572287
30.0,10.406278411371057,0.14099109991588277,0.06959257757290653,0.09982541638436476,0.2169280467827478
50.0,7.91467887151888,0.10733555264651501,0.053438311233821416,0.07671870234166651,0.16679575953028491
60.0,6.663275022703073,0.09045464274392975,0.04540874066356535,0.06524142669172171,0.14190447456764665
70.0,5.421473697901092,0.07370988165714029,0.03746768964341357,0.05389325910761375,0.11729644038459806
80.0,3.918895001068479,0.053442506034622556,0.02783990274993551,0.04013234152987254,0.08745390554365737
90.0,2.676298711208265,0.03665497297981208,0.01977731984504838,0.02859726865597806,0.06242499775212047
95.0,1.7724757945251675,0.024406653059404655,0.013761878733825832,0.019973920210943776,0.04369329419575
99.0,0.9081354868726116,0.012628330690753963,0.007727430522852339,0.01129095408376311,0.02479252488561184
