Probabilities,IWV,A20,A40,A50,A75
0.1,17.071199237999995,0.2315647570131103,0.11472572019044079,0.16455904803513685,0.35758452938894697
0.2,16.7526381808,0.22724843976684703,0.11261111969032853,0.16152931603947762,0.35100518900278027
0.3,16.415358628399996,0.22464643785778296,0.11133637684260034,0.15970290523904757,0.3470389707504012
0.5,16.094544418999998,0.21833165163623672,0.10782278058180444,0.15466873684147234,0.33610681322082936
1.0,15.834565319,0.21427600425631468,0.10579561731673491,0.15176428212093285,0.3297995239061255
2.0,15.467301510399999,0.20983287464264214,0.10369252171597035,0.14875103397726303,0.3232559797135723
3.0,15.188083957,0.20604963901493256,0.10161396990048097,0.14541305394940127,0.3160072505068326
5.0,14.647038563333332,0.19862373490751473,0.09776585499484114,0.1402594953667025,0.3048158262606599
10.0,13.61158645090909,0.18426203605878458,0.09087606384260219,0.13030377206196875,0.28319606170518696
20.0,12.355445009230769,0.16748181370463008,0.08259388982980888,0.11842462487010111,0.25705688565761864
30.0,11.27886489,0.15252620925191973,0.07522173079679462,0.10784064931669991,0.23441533427150218
50.0,8.553417325,0.11600698721142311,0.05739393051587892,0.08241589260875555,0.17920314756432673
60.0,7.100134156000001,0.09622778046134009,0.04819288726253404,0.0692329319802002,0.15057514172190659
70.0,5.6759819784615395,0.0771661835823871,0.03908454694816412,0.05618279315902131,0.12223557059341092
80.0,4.065063862857144,0.05550692025992251,0.028720023337980814,0.04145057686999682,0.09024321425727526
90.0,2.718619724000002,0.03721092718420956,0.020137667253130747,0.02903630963794905,0.06328449649560551
95.0,1.887429401428573,0.025833497251062834,0.014526011802054008,0.021177008813650176,0.046217305273930635
99.0,1.0256358247999973,0.01427724500408505,0.00867585898296042,0.012863652793642091,0.028338299770426338
