Probabilities,IWV,A20,A40,A50,A75
0.1,64.63127768742295,0.9030070471096313,0.7562966739855509,1.0801107504468952,2.3311995395602714
0.2,63.88095647985635,0.8908498213514816,0.7471786748159607,1.066534661255201,2.301888613911878
0.3,63.26333739915033,0.8835205816887258,0.7387733930868267,1.0548225391766373,2.2766020137295735
0.5,62.31202451149292,0.8718758312366637,0.7257217523447972,1.035786367982972,2.235502711079959
1.0,61.23397679947197,0.8546460435322388,0.7080846825500169,1.0094378162119324,2.177476809219513
2.0,59.906836615362906,0.8362870858927635,0.6902646555996892,0.984191688821512,2.1221381436912075
3.0,59.33668372207523,0.8262926681708238,0.6799320007653432,0.969879055212048,2.0914526700218494
5.0,58.351832411604775,0.812365418121621,0.6660387231346092,0.9500238513737144,2.0482048381630205
10.0,56.726334598846684,0.78848861512907,0.6429186586471596,0.9159002273532939,1.9747142953448986
20.0,54.48940903445566,0.7566973478308434,0.6115948812478108,0.8711383343297224,1.8777623018327416
30.0,52.43814855308385,0.7267209223480592,0.582688159175506,0.8298569243079617,1.7885744173703901
50.0,47.87577421583722,0.661442250849545,0.5216277540526595,0.7418874757807133,1.597571082544363
60.0,45.13614117614122,0.6220404396748257,0.4853666285546804,0.6902201407141566,1.4864353965359367
70.0,41.94406904517239,0.5774162160535683,0.4452456764738038,0.6326240828483493,1.361478116793811
80.0,37.8289995556585,0.5189226853542832,0.39390333675760586,0.5591725583561176,1.2028378217084756
90.0,32.10045244045704,0.4390328661795831,0.32602689734822615,0.4623376389963267,0.9951066862022397
95.0,27.809400017619318,0.38008480928396127,0.27700280035095304,0.393559289102163,0.8461473832726394
99.0,19.944405841241846,0.27112324939985083,0.19350443395102757,0.27495120364399483,0.590963365802414
